iter	Passed	Remaining
0	1946	19122748
1	2513	12344513
2	2839	9297202
3	3112	7642214
4	3483	6843053
5	3727	6101035
6	4051	5682502
7	4336	5321768
8	4575	4991329
9	4845	4756453
10	5083	4536288
11	5424	4436461
12	5876	4436202
13	6142	4304724
14	6347	4151742
15	6563	4024503
16	6777	3910547
17	7050	3841799
18	7350	3794216
19	7630	3741381
20	7933	3704058
21	8170	3640923
22	8472	3610949
23	8746	3572222
24	9006	3530880
25	9296	3503891
26	9551	3466483
27	9885	3459330
28	10092	3409555
29	10380	3389630
30	10705	3382676
31	10956	3353322
32	11303	3354539
33	11537	3322682
34	11902	3329554
35	12104	3291651
36	12411	3283563
37	12762	3287247
38	13133	3295942
39	13467	3294849
40	13862	3308331
41	14169	3300846
42	14487	3296035
43	14747	3278639
44	15063	3274052
45	15394	3273099
46	15716	3270106
47	15949	3249134
48	16214	3235302
49	16474	3221093
50	16753	3211179
51	17057	3206092
52	17318	3193417
53	17618	3188372
54	17901	3180340
55	18177	3171309
56	18558	3180670
57	18896	3182371
58	19220	3181737
59	19551	3182342
60	19887	3183595
61	20194	3180346
62	20553	3185085
63	20844	3179397
64	21166	3178501
65	21515	3181757
66	21861	3184338
67	22096	3170814
68	22487	3179845
69	22910	3193005
70	23118	3176377
71	23430	3174248
72	23698	3166174
73	23932	3153924
74	24233	3150733
75	24491	3142044
76	24750	3133642
77	25011	3125841
78	25308	3122544
79	25541	3111619
80	25790	3102770
81	26121	3103993
82	26437	3103363
83	26664	3092400
84	27018	3096357
85	27225	3083485
86	27538	3082749
87	27796	3075901
88	28084	3072550
89	28323	3063928
90	28586	3058180
91	28921	3060061
92	29131	3048733
93	29500	3054290
94	29758	3048223
95	30032	3043884
96	30320	3041099
97	30582	3035769
98	30868	3032924
99	31128	3027517
100	31434	3026704
101	31665	3018785
102	31966	3017618
103	32226	3012576
104	32480	3007099
105	32737	3001999
106	33058	3002788
107	33293	2995761
108	33514	2987734
109	33757	2981726
110	33968	2972978
111	34205	2966747
112	34424	2959025
113	34656	2952505
114	34873	2944874
115	35114	2939316
116	35323	2931285
117	35551	2924830
118	35767	2917598
119	35990	2911009
120	36221	2905191
121	36444	2898821
122	36653	2891422
123	36895	2886787
124	37145	2882770
125	37351	2875446
126	37603	2871757
127	37819	2865438
128	38142	2867198
129	38362	2861269
130	38576	2854946
131	38827	2851468
132	39025	2844201
133	39255	2839313
134	39465	2833008
135	39689	2827907
136	39925	2823647
137	40153	2818887
138	40397	2815298
139	40614	2809956
140	40841	2805325
141	41081	2801674
142	41345	2799638
143	41588	2796273
144	41813	2791676
145	42042	2787456
146	42282	2784048
147	42565	2783423
148	42781	2778519
149	43007	2774295
150	43225	2769557
151	43526	2770214
152	43734	2764964
153	43961	2760980
154	44198	2757714
155	44403	2752462
156	44607	2747225
157	44853	2744593
158	45057	2739460
159	45315	2737624
160	45534	2733459
161	45791	2731683
162	45992	2726562
163	46215	2722753
164	46426	2718355
165	46651	2714807
166	46858	2710235
167	47121	2708938
168	47321	2704027
169	47557	2701257
170	47821	2700089
171	48030	2695837
172	48263	2692964
173	48506	2690722
174	48709	2686268
175	48945	2683651
176	49157	2679772
177	49374	2676203
178	49626	2674556
179	49828	2670242
180	50057	2667407
181	50309	2665843
182	50514	2661808
183	50741	2658990
184	50942	2654781
185	51166	2651869
186	51384	2648650
187	51606	2645643
188	51818	2642213
189	52098	2642196
190	52312	2638909
191	52565	2637558
192	52763	2633531
193	53003	2631597
194	53256	2630321
195	53459	2626617
196	53722	2625872
197	53920	2621933
198	54143	2619312
199	54347	2615745
200	54550	2612158
201	54817	2611694
202	55030	2608648
203	55276	2607210
204	55483	2603958
205	55705	2601376
206	55932	2599120
207	56196	2598529
208	56433	2596737
209	56731	2597740
210	57014	2598091
211	57277	2597488
212	57551	2597388
213	57755	2594135
214	58052	2595062
215	58284	2593138
216	58566	2593398
217	58775	2590414
218	59078	2591634
219	59473	2596814
220	59778	2598057
221	60086	2599423
222	60435	2602500
223	60745	2603934
224	61135	2608701
225	61503	2612530
226	61822	2614252
227	62120	2615047
228	62439	2616724
229	62658	2614208
230	63107	2621265
231	63330	2618944
232	63616	2619181
233	63822	2616172
234	64053	2614193
235	64260	2611246
236	64468	2608375
237	64721	2607339
238	64948	2605288
239	65171	2603067
240	65450	2603074
241	65724	2602902
242	66117	2607419
243	66337	2605113
244	66686	2607836
245	66902	2605380
246	67169	2604928
247	67399	2603042
248	67630	2601208
249	67860	2599336
250	68068	2596623
251	68319	2595608
252	68519	2592645
253	68746	2590712
254	68946	2587783
255	69268	2589458
256	69705	2595389
257	69909	2592618
258	70174	2592135
259	70376	2589304
260	70608	2587643
261	71018	2592460
262	71309	2592901
263	71604	2593492
264	71801	2590561
265	72027	2588662
266	72466	2594395
267	72676	2591959
268	72924	2590850
269	73146	2588849
270	73382	2587342
271	73582	2584580
272	73804	2582606
273	74092	2582972
274	74290	2580161
275	74517	2578424
276	74726	2576039
277	74979	2575188
278	75187	2572810
279	75450	2572320
280	75655	2569863
281	75908	2569037
282	76108	2566433
283	76353	2565370
284	76551	2562721
285	76779	2561111
286	76987	2558814
287	77232	2557795
288	77451	2555893
289	77755	2556803
290	78000	2555780
291	78209	2553585
292	78452	2552522
293	78673	2550728
294	78914	2549619
295	79125	2547505
296	79355	2546044
297	79565	2543946
298	79791	2542373
299	80030	2541243
300	80234	2538977
301	80470	2537761
302	80681	2535734
303	80905	2534164
304	81110	2531988
305	81342	2530659
306	81558	2528842
307	81775	2527087
308	82019	2526141
309	82217	2523806
310	82442	2522304
311	82646	2520201
312	82904	2519718
313	83113	2517758
314	83322	2515825
315	83531	2513863
316	83816	2514233
317	84014	2511989
318	84277	2511674
319	84473	2509395
320	84709	2508310
321	84915	2506338
322	85196	2506567
323	85419	2505124
324	85679	2504752
325	85884	2502755
